Pathway	Name	Class
KEGG_ABC_TRANSPORTERS	ABC transporters	Membrane transport
KEGG_ACUTE_MYELOID_LEUKEMIA	Acute myeloid leukemia	Disease (Immune)
KEGG_ADHERENS_JUNCTION	Adherens junction	Cellular community
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	Adipocytokine signaling pathway	Signaling pathway
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	"Alanine, aspartate and glutamate metabolism"	Metabolism
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	Aldosterone-regulated sodium reabsorption	Metabolism
KEGG_ALLOGRAFT_REJECTION	Allograft rejection	Disease (Immune)
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	alpha-Linolenic acid metabolism	Lipid metabolism
KEGG_ALZHEIMERS_DISEASE	Alzheimer disease	Disease (Neuron)
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Aminoacyl-tRNA biosynthesis	Translation
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	Amino sugar and nucleotide sugar metabolism	Metabolism
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Amyotrophic lateral sclerosis	Disease (Neuron)
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Antigen processing and presentation	Immune
KEGG_APOPTOSIS	Apoptosis	Cell growth and death
KEGG_ARACHIDONIC_ACID_METABOLISM	Arachidonic acid metabolism	Lipid metabolism
KEGG_ARGININE_AND_PROLINE_METABOLISM	Arginine and proline metabolism	Metabolism
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Arrhythmogenic right ventricular cardiomyopathy	Disease
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Ascorbate and aldarate metabolism	Metabolism
KEGG_ASTHMA	Asthma	Disease (Immune)
KEGG_AUTOIMMUNE_THYROID_DISEASE	Autoimmune thyroid disease	Disease (Immune)
KEGG_AXON_GUIDANCE	Axon guidance	Neuron
KEGG_BASAL_CELL_CARCINOMA	Basal cell carcinoma	Cancer
KEGG_BASAL_TRANSCRIPTION_FACTORS	Basal transcription factors	Transcription
KEGG_BASE_EXCISION_REPAIR	Base excision repair	Replication and repair
KEGG_BETA_ALANINE_METABOLISM	beta-Alanine metabolism	Metabolism
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	Biosynthesis of unsaturated fatty acids	Lipid metabolism
KEGG_BLADDER_CANCER	Bladder cancer	Cancer
KEGG_BUTANOATE_METABOLISM	Butanoate metabolism	Metabolism
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	B cell receptor signaling pathway	Immune (Adaptive)
KEGG_CALCIUM_SIGNALING_PATHWAY	Calcium signaling pathway	Signaling pathway
KEGG_CARDIAC_MUSCLE_CONTRACTION	Cardiac muscle contraction	Circulatory system
KEGG_CELL_ADHESION_MOLECULES_CAMS	Cell adhesion molecules	Signaling molecules and interaction
KEGG_CELL_CYCLE	Cell cycle	Cell growth and death
KEGG_CHEMOKINE_SIGNALING_PATHWAY	Chemokine signaling pathway	Immune
KEGG_CHRONIC_MYELOID_LEUKEMIA	Chronic myeloid leukemia	Cancer
KEGG_CIRCADIAN_RHYTHM_MAMMAL	Circadian rhythm	Environmental adaptation
KEGG_CITRATE_CYCLE_TCA_CYCLE	Citrate cycle (TCA cycle)	Metabolism
KEGG_COLORECTAL_CANCER	Colorectal cancer	Cancer
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Complement and coagulation cascades	Immune (Innate)
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Cysteine and methionine metabolism	Metabolism
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Cytokine-cytokine receptor interaction	Signaling molecules and interaction
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Cytosolic DNA-sensing pathway	Immune (Innate)
KEGG_DILATED_CARDIOMYOPATHY	Dilated cardiomyopathy	Disease
KEGG_DNA_REPLICATION	DNA replication	Replication and repair
KEGG_DORSO_VENTRAL_AXIS_FORMATION	Dorso-ventral axis formation	Development and regeneration
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Drug metabolism - cytochrome P450	Metabolism
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	Drug metabolism - other enzymes	Metabolism
KEGG_ECM_RECEPTOR_INTERACTION	ECM-receptor interaction	Signaling molecules and interaction
KEGG_ENDOCYTOSIS	Endocytosis	Transport and catabolism
KEGG_ENDOMETRIAL_CANCER	Endometrial cancer	Cancer
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Epithelial cell signaling in Helicobacter pylori infection	Immune (Innate)
KEGG_ERBB_SIGNALING_PATHWAY	ErbB signaling pathway	Signaling pathway
KEGG_ETHER_LIPID_METABOLISM	Ether lipid metabolism	Lipid metabolism
KEGG_FATTY_ACID_METABOLISM	Fatty acid metabolism	Metabolism
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	Fc epsilon RI signaling pathway	Immune (Innate)
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	Fc gamma R-mediated phagocytosis	Immune (Innate)
KEGG_FOCAL_ADHESION	Focal adhesion	Cellular community
KEGG_FOLATE_BIOSYNTHESIS	Folate biosynthesis	Metabolism
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Fructose and mannose metabolism	Metabolism
KEGG_GALACTOSE_METABOLISM	Galactose metabolism	Metabolism
KEGG_GAP_JUNCTION	Gap junction	Cellular community
KEGG_GLIOMA	Glioma	Cancer
KEGG_GLUTATHIONE_METABOLISM	Glutathione metabolism	Metabolism
KEGG_GLYCEROLIPID_METABOLISM	Glycerolipid metabolism	Lipid metabolism
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	Glycerophospholipid metabolism	Lipid metabolism
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	"Glycine, serine and threonine metabolism"	Metabolism
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Glycolysis / Gluconeogenesis	Metabolism
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	Glycosaminoglycan biosynthesis - keratan sulfate	Glycan biosynthesis and metabolism
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	Glycosphingolipid biosynthesis - ganglio series	Metabolism
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	Glyoxylate and dicarboxylate metabolism	Metabolism
KEGG_GNRH_SIGNALING_PATHWAY	GnRH signaling pathway	Endocrine system
KEGG_GRAFT_VERSUS_HOST_DISEASE	Graft-versus-host disease	Disease (Immune)
KEGG_HEDGEHOG_SIGNALING_PATHWAY	Hedgehog signaling pathway	Signaling pathway
KEGG_HEMATOPOIETIC_CELL_LINEAGE	Hematopoietic cell lineage	Immune
KEGG_HISTIDINE_METABOLISM	Histidine metabolism	Metabolism
KEGG_HOMOLOGOUS_RECOMBINATION	Homologous recombination	Replication and repair
KEGG_HUNTINGTONS_DISEASE	Huntington disease	Disease (Neuron)
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Hypertrophic cardiomyopathy	Disease
KEGG_INOSITOL_PHOSPHATE_METABOLISM	Inositol phosphate metabolism	Metabolism
KEGG_INSULIN_SIGNALING_PATHWAY	Insulin signaling pathway	Signaling pathway
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Intestinal immune network for IgA production	Immune (Adaptive)
KEGG_JAK_STAT_SIGNALING_PATHWAY	JAK-STAT signaling pathway	Signaling pathway
KEGG_LEISHMANIA_INFECTION	Leishmaniasis	Disease (Immune)
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Leukocyte transendothelial migration	Immune (Adaptive)
KEGG_LIMONENE_AND_PINENE_DEGRADATION	Limonene degradation	Metabolism
KEGG_LINOLEIC_ACID_METABOLISM	Linoleic acid metabolism	Lipid metabolism
KEGG_LONG_TERM_DEPRESSION	Long-term depression	Neuron
KEGG_LONG_TERM_POTENTIATION	Long-term potentiation	Neuron
KEGG_LYSINE_DEGRADATION	Lysine degradation	Metabolism
KEGG_LYSOSOME	Lysosome	Transport and catabolism
KEGG_MAPK_SIGNALING_PATHWAY	MAPK signaling pathway	Signaling pathway
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Maturity onset diabetes of the young	Disease
KEGG_MELANOGENESIS	Melanogenesis	Endocrine system
KEGG_MELANOMA	Melanoma	Cancer
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Metabolism of xenobiotics by cytochrome P450	Metabolism
KEGG_MISMATCH_REPAIR	Mismatch repair	Replication and repair
KEGG_MTOR_SIGNALING_PATHWAY	mTOR signaling pathway	Signaling pathway
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Natural killer cell mediated cytotoxicity	Immune (Innate)
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Neuroactive ligand-receptor interaction	Neuron
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Neurotrophin signaling pathway	Neuron
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	Nicotinate and nicotinamide metabolism	Metabolism
KEGG_NITROGEN_METABOLISM	Nitrogen metabolism	Energy metabolism
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	NOD-like receptor signaling pathway	Immune (Innate)
KEGG_NON_HOMOLOGOUS_END_JOINING	Non-homologous end-joining	Replication and repair
KEGG_NON_SMALL_CELL_LUNG_CANCER	Non-small cell lung cancer	Cancer
KEGG_NOTCH_SIGNALING_PATHWAY	Notch signaling pathway	Signaling pathway
KEGG_NUCLEOTIDE_EXCISION_REPAIR	Nucleotide excision repair	Replication and repair
KEGG_N_GLYCAN_BIOSYNTHESIS	N-Glycan biosynthesis	Metabolism
KEGG_OLFACTORY_TRANSDUCTION	Olfactory transduction	Sensory system
KEGG_ONE_CARBON_POOL_BY_FOLATE	One carbon pool by folate	Metabolism
KEGG_OOCYTE_MEIOSIS	Oocyte meiosis	Cell growth and death
KEGG_OTHER_GLYCAN_DEGRADATION	Other glycan degradation	Metabolism
KEGG_OXIDATIVE_PHOSPHORYLATION	Oxidative phosphorylation	Energy metabolism
KEGG_O_GLYCAN_BIOSYNTHESIS	Mucin type O-glycan biosynthesis	Metabolism
KEGG_P53_SIGNALING_PATHWAY	p53 signaling pathway	Cell growth and death
KEGG_PANCREATIC_CANCER	Pancreatic cancer	Cancer
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	Pantothenate and CoA biosynthesis	Metabolism
KEGG_PARKINSONS_DISEASE	Parkinson disease	Disease (Neuron)
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Pathogenic Escherichia coli infection	Disease (Immune)
KEGG_PATHWAYS_IN_CANCER	Pathways in cancer	Cancer
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Pentose and glucuronate interconversions	Metabolism
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Pentose phosphate pathway	Metabolism
KEGG_PEROXISOME	Peroxisome	Transport and catabolism
KEGG_PHENYLALANINE_METABOLISM	Phenylalanine metabolism	Metabolism
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Phosphatidylinositol signaling system	Signaling pathway
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Porphyrin metabolism	Metabolism
KEGG_PPAR_SIGNALING_PATHWAY	PPAR signaling pathway	Signaling pathway
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	Primary bile acid biosynthesis	Lipid metabolism
KEGG_PRIMARY_IMMUNODEFICIENCY	Primary immunodeficiency	Disease (Immune)
KEGG_PRION_DISEASES	Prion disease	Disease (Neuron)
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Progesterone-mediated oocyte maturation	Endocrine system
KEGG_PROPANOATE_METABOLISM	Propanoate metabolism	Metabolism
KEGG_PROSTATE_CANCER	Prostate cancer	Cancer
KEGG_PROTEASOME	Proteasome	"Folding, sorting and degradation"
KEGG_PROTEIN_EXPORT	Protein export	"Folding, sorting and degradation"
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Proximal tubule bicarbonate reclamation	Excretory system
KEGG_PURINE_METABOLISM	Purine metabolism	Metabolism
KEGG_PYRIMIDINE_METABOLISM	Pyrimidine metabolism	Metabolism
KEGG_PYRUVATE_METABOLISM	Pyruvate metabolism	Metabolism
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Regulation of actin cytoskeleton	Cell motility
KEGG_REGULATION_OF_AUTOPHAGY	Autophagy	Transport and catabolism
KEGG_RENAL_CELL_CARCINOMA	Renal cell carcinoma	Cancer
KEGG_RENIN_ANGIOTENSIN_SYSTEM	Renin-angiotensin system	Endocrine system
KEGG_RETINOL_METABOLISM	Retinol metabolism	Metabolism
KEGG_RIBOFLAVIN_METABOLISM	Riboflavin metabolism	Metabolism
KEGG_RIBOSOME	Ribosome	Translation
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	RIG-I-like receptor signaling pathway	Immune (Innate)
KEGG_RNA_DEGRADATION	RNA degradation	"Folding, sorting and degradation"
KEGG_RNA_POLYMERASE	RNA polymerase	Transcription
KEGG_SELENOAMINO_ACID_METABOLISM	Selenocompound metabolism	Metabolism
KEGG_SMALL_CELL_LUNG_CANCER	Small cell lung cancer	Cancer
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	SNARE interactions in vesicular transport	"Folding, sorting and degradation"
KEGG_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	Lipid metabolism
KEGG_SPLICEOSOME	Spliceosome	Transcription
KEGG_STARCH_AND_SUCROSE_METABOLISM	Starch and sucrose metabolism	Metabolism
KEGG_STEROID_BIOSYNTHESIS	Steroid biosynthesis	Lipid metabolism
KEGG_STEROID_HORMONE_BIOSYNTHESIS	Steroid hormone biosynthesis	Lipid metabolism
KEGG_SULFUR_METABOLISM	Sulfur metabolism	Metabolism
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Systemic lupus erythematosus	Disease (Immune)
KEGG_TASTE_TRANSDUCTION	Taste transduction	Sensory system
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	Taurine and hypotaurine metabolism	Metabolism
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Terpenoid backbone biosynthesis	Metabolism
KEGG_TGF_BETA_SIGNALING_PATHWAY	TGF-beta signaling pathway	Signaling pathway
KEGG_THYROID_CANCER	Thyroid cancer	Cancer
KEGG_TIGHT_JUNCTION	Tight junction	Cellular community
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Toll-like receptor signaling pathway	Immune (Innate)
KEGG_TRYPTOPHAN_METABOLISM	Tryptophan metabolism	Metabolism
KEGG_TYPE_II_DIABETES_MELLITUS	Type II diabetes mellitus	Disease
KEGG_TYPE_I_DIABETES_MELLITUS	Type I diabetes mellitus	Disease
