"Symbol"	"Entrez"	"Description"
"Gnai3"	"14679"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"Pbsn"	"54192"	"probasin"
"Cdc45"	"12544"	"cell division cycle 45"
"H19"	"14955"	"H19, imprinted maternally expressed transcript"
"Scml2"	"107815"	"Scm polycomb group protein like 2"
"Apoh"	"11818"	"apolipoprotein H"
"Narf"	"67608"	"nuclear prelamin A recognition factor"
"Cav2"	"12390"	"caveolin 2"
"Klf6"	"23849"	"Kruppel-like transcription factor 6"
"Scmh1"	"29871"	"sex comb on midleg homolog 1"
"Cox5a"	"12858"	"cytochrome c oxidase subunit 5A"
"Tbx2"	"21385"	"T-box 2"
"Tbx4"	"21387"	"T-box 4"
"Zfy2"	"22768"	"zinc finger protein 2, Y-linked"
"Ngfr"	"18053"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"Wnt3"	"22415"	"wingless-type MMTV integration site family, member 3"
"Wnt9a"	"216795"	"wingless-type MMTV integration site family, member 9A"
"Fer"	"14158"	"fer (fms/fps related) protein kinase"
"Xpo6"	"74204"	"exportin 6"
"Tfe3"	"209446"	"transcription factor E3"
"Axin2"	"12006"	"axin 2"
"Brat1"	"231841"	"BRCA1-associated ATM activator 1"
"Gna12"	"14673"	"guanine nucleotide binding protein, alpha 12"
"Slc22a18"	"18400"	"solute carrier family 22 (organic cation transporter), member 18"
"Itgb2l"	"16415"	"integrin beta 2-like"
"Igsf5"	"72058"	"immunoglobulin superfamily, member 5"
"Pih1d2"	"72614"	"PIH1 domain containing 2"
"Dlat"	"235339"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"Sdhd"	"66925"	"succinate dehydrogenase complex, subunit D, integral membrane protein"
"Fgf23"	"64654"	"fibroblast growth factor 23"
"Fgf6"	"14177"	"fibroblast growth factor 6"
"Ccnd2"	"12444"	"cyclin D2"
"Gpr107"	"277463"	"G protein-coupled receptor 107"
"Nalcn"	"338370"	"sodium leak channel, non-selective"
"Btbd17"	"72014"	"BTB (POZ) domain containing 17"
"Slfn4"	"20558"	"schlafen 4"
"Th"	"21823"	"tyrosine hydroxylase"
"Ins2"	"16334"	"insulin II"
"Scnn1g"	"20278"	"sodium channel, nonvoltage-gated 1 gamma"
"Drp2"	"13497"	"dystrophin related protein 2"
"Tspan32"	"27027"	"tetraspanin 32"
"Lhx2"	"16870"	"LIM homeobox protein 2"
"Clec2g"	"70809"	"C-type lectin domain family 2, member g"
"Gmpr"	"66355"	"guanosine monophosphate reductase"
"Glra1"	"14654"	"glycine receptor, alpha 1 subunit"
"Mid2"	"23947"	"midline 2"
"Trim25"	"217069"	"tripartite motif-containing 25"
"Dgke"	"56077"	"diacylglycerol kinase, epsilon"
"Scpep1"	"74617"	"serine carboxypeptidase 1"
"Mnt"	"17428"	"max binding protein"
"Itgb2"	"16414"	"integrin beta 2"
"Hddc2"	"69692"	"HD domain containing 2"
"Tpd52l1"	"21987"	"tumor protein D52-like 1"
"Pemt"	"18618"	"phosphatidylethanolamine N-methyltransferase"
"Cdh1"	"12550"	"cadherin 1"
"Cdh4"	"12561"	"cadherin 4"
"Ckmt1"	"12716"	"creatine kinase, mitochondrial 1, ubiquitous"
"Bcl6b"	"12029"	"B cell CLL/lymphoma 6, member B"
"Clec10a"	"17312"	"C-type lectin domain family 10, member A"
"Alox12"	"11684"	"arachidonate 12-lipoxygenase"
"Comt"	"12846"	"catechol-O-methyltransferase"
"Rtca"	"66368"	"RNA 3'-terminal phosphate cyclase"
"Dbt"	"13171"	"dihydrolipoamide branched chain transacylase E2"
"Dazap2"	"23994"	"DAZ associated protein 2"
"Mcts1"	"68995"	"malignant T cell amplified sequence 1"
"Rem1"	"19700"	"rad and gem related GTP binding protein 1"
"Rnf17"	"30054"	"ring finger protein 17"
"Trappc10"	"216131"	"trafficking protein particle complex 10"
"Ccm2"	"216527"	"cerebral cavernous malformation 2"
"Wap"	"22373"	"whey acidic protein"
"Tbrg4"	"21379"	"transforming growth factor beta regulated gene 4"
"Tmprss2"	"50528"	"transmembrane protease, serine 2"
"Mx1"	"-"	"-"
"Fap"	"14089"	"fibroblast activation protein"
"Gcg"	"14526"	"glucagon"
"Ndufa9"	"66108"	"NADH:ubiquinone oxidoreductase subunit A9"
"Egfl6"	"54156"	"EGF-like-domain, multiple 6"
"Lck"	"16818"	"lymphocyte protein tyrosine kinase"
"Tssk3"	"58864"	"testis-specific serine kinase 3"
"Cttnbp2"	"30785"	"cortactin binding protein 2"
"Galnt1"	"14423"	"polypeptide N-acetylgalactosaminyltransferase 1"
"Myf5"	"17877"	"myogenic factor 5"
"Mkrn2"	"67027"	"makorin, ring finger protein, 2"
"Pparg"	"19016"	"peroxisome proliferator activated receptor gamma"
"Raf1"	"110157"	"v-raf-leukemia viral oncogene 1"
"Septin1"	"100043580"	"septin 1"
"Pdgfb"	"18591"	"platelet derived growth factor, B polypeptide"
"Acvrl1"	"11482"	"activin A receptor, type II-like 1"
"Tamalin"	"56149"	"trafficking regulator and scaffold protein tamalin"
"Acvr1b"	"11479"	"activin A receptor, type 1B"
"Tom1l2"	"216810"	"target of myb1-like 2 (chicken)"
"Gpa33"	"59290"	"glycoprotein A33 (transmembrane)"
"Zfp385a"	"29813"	"zinc finger protein 385A"
"Itga5"	"16402"	"integrin alpha 5 (fibronectin receptor alpha)"
"Gabra2"	"14395"	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"Wdr77"	"70465"	"WD repeat domain 77"
"Adora3"	"11542"	"adenosine A3 receptor"
"Atp5pb"	"11950"	"ATP synthase peripheral stalk-membrane subunit b"
"Sox9"	"20682"	"SRY (sex determining region Y)-box 9"
"Hnrnpd"	"11991"	"heterogeneous nuclear ribonucleoprotein D"
"Dynlt1c"	"100040563"	"dynein light chain Tctex-type 1C"
"C1d"	"57316"	"C1D nuclear receptor co-repressor"
"Gm2a"	"14667"	"GM2 ganglioside activator protein"
"Krit1"	"79264"	"KRIT1, ankyrin repeat containing"
"Clcn4"	"12727"	"chloride channel, voltage-sensitive 4"
"Vmn2r88"	"669149"	"vomeronasal 2, receptor 88"
"Grm6"	"108072"	"glutamate receptor, metabotropic 6"
"Sema4f"	"20355"	"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"Hk2"	"15277"	"hexokinase 2"
"Myo18a"	"360013"	"myosin XVIIIA"
"Sez6"	"20370"	"seizure related gene 6"
"Haao"	"107766"	"3-hydroxyanthranilate 3,4-dioxygenase"
"Cd52"	"23833"	"CD52 antigen"
"Abhd15"	"67477"	"abhydrolase domain containing 15"
"Hoxb6"	"15414"	"homeobox B6"
"Loxl3"	"16950"	"lysyl oxidase-like 3"
"Tcl1b5"	"27382"	"T cell leukemia/lymphoma 1B, 5"
"Btn1a1"	"12231"	"butyrophilin, subfamily 1, member A1"
"Kat2b"	"18519"	"K(lysine) acetyltransferase 2B"
"Rab5b"	"19344"	"RAB5B, member RAS oncogene family"
"Cryba1"	"12957"	"crystallin, beta A1"
"Dnmt3l"	"54427"	"DNA (cytosine-5-)-methyltransferase 3-like"
"Aire"	"11634"	"autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)"
"Icosl"	"50723"	"icos ligand"
"Spg7"	"234847"	"SPG7, paraplegin matrix AAA peptidase subunit"
"Sult5a1"	"57429"	"sulfotransferase family 5A, member 1"
"Rpl13"	"270106"	"ribosomal protein L13"
"Chmp1a"	"234852"	"charged multivesicular body protein 1A"
"Rpa1"	"68275"	"replication protein A1"
"Serpinf1"	"20317"	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
"Tubgcp3"	"259279"	"tubulin, gamma complex associated protein 3"
"Oprm1"	"18390"	"opioid receptor, mu 1"
"Polr3d"	"67065"	"polymerase (RNA) III (DNA directed) polypeptide D"
"Tcf7"	"21414"	"transcription factor 7, T cell specific"
"Ddx3x"	"13205"	"DEAD box helicase 3, X-linked"
"Il12rb1"	"16161"	"interleukin 12 receptor, beta 1"
"Slc5a5"	"114479"	"solute carrier family 5 (sodium iodide symporter), member 5"
"Kcnn3"	"140493"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"Usp32"	"237898"	"ubiquitin specific peptidase 32"
"Car4"	"12351"	"carbonic anhydrase 4"
"Txnrd3"	"232223"	"thioredoxin reductase 3"
"Fasl"	"14103"	"Fas ligand (TNF superfamily, member 6)"
"Zfp512b"	"269401"	"zinc finger protein 512B"
"Dnajc5"	"13002"	"DnaJ heat shock protein family (Hsp40) member C5"
"Tpd52l2"	"66314"	"tumor protein D52-like 2"
"Fmr1"	"14265"	"fragile X messenger ribonucleoprotein 1"
"Bcl11a"	"14025"	"B cell CLL/lymphoma 11A (zinc finger protein)"
"Il4"	"16189"	"interleukin 4"
"Pxmp4"	"59038"	"peroxisomal membrane protein 4"
"Dlg3"	"53310"	"discs large MAGUK scaffold protein 3"
"Gnb1l"	"13972"	"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"Dbh"	"13166"	"dopamine beta hydroxylase"
"Mmp11"	"17385"	"matrix metallopeptidase 11"
"Smarcb1"	"20587"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"Vpreb3"	"22364"	"V-set pre-B cell surrogate light chain 3"
"Hip1r"	"29816"	"huntingtin interacting protein 1 related"
"Nsun5"	"100609"	"NOL1/NOP2/Sun domain family, member 5"
"Top1mt"	"72960"	"DNA topoisomerase 1, mitochondrial"
"Hoxa10"	"15395"	"homeobox A10"
"Hoxa4"	"15401"	"homeobox A4"
"Gm38393"	"-"	"-"
"Mmp14"	"17387"	"matrix metallopeptidase 14 (membrane-inserted)"
"Slc7a7"	"20540"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"Oxa1l"	"69089"	"oxidase assembly 1-like"
"Heatr6"	"217026"	"HEAT repeat containing 6"
"Ccl3"	"20302"	"chemokine (C-C motif) ligand 3"
"Wfdc18"	"14038"	"WAP four-disulfide core domain 18"
