"Symbol"	"Entrez"	"Description"
"TSPAN6"	"7105"	"tetraspanin 6"
"TNMD"	"64102"	"tenomodulin"
"DPM1"	"8813"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"SCYL3"	"57147"	"SCY1 like pseudokinase 3"
"FIRRM"	"55732"	"FIGNL1 interacting regulator of recombination and mitosis"
"FGR"	"2268"	"FGR proto-oncogene, Src family tyrosine kinase"
"CFH"	"3075"	"complement factor H"
"FUCA2"	"2519"	"alpha-L-fucosidase 2"
"GCLC"	"2729"	"glutamate-cysteine ligase catalytic subunit"
"NFYA"	"4800"	"nuclear transcription factor Y subunit alpha"
"STPG1"	"90529"	"sperm tail PG-rich repeat containing 1"
"NIPAL3"	"57185"	"NIPA like domain containing 3"
"LAS1L"	"81887"	"LAS1 like ribosome biogenesis factor"
"ENPP4"	"22875"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"SEMA3F"	"6405"	"semaphorin 3F"
"CFTR"	"1080"	"CF transmembrane conductance regulator"
"ANKIB1"	"54467"	"ankyrin repeat and IBR domain containing 1"
"CYP51A1"	"1595"	"cytochrome P450 family 51 subfamily A member 1"
"KRIT1"	"889"	"KRIT1 ankyrin repeat containing"
"RAD52"	"5893"	"RAD52 homolog, DNA repair protein"
"MYH16"	"-"	"-"
"BAD"	"572"	"BCL2 associated agonist of cell death"
"LAP3"	"51056"	"leucine aminopeptidase 3"
"HS3ST1"	"9957"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"AOC1"	"26"	"amine oxidase copper containing 1"
"WNT16"	"51384"	"Wnt family member 16"
"HECW1"	"23072"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"MAD1L1"	"8379"	"mitotic arrest deficient 1 like 1"
"LASP1"	"3927"	"LIM and SH3 protein 1"
"SNX11"	"29916"	"sorting nexin 11"
"TMEM176A"	"55365"	"transmembrane protein 176A"
"M6PR"	"4074"	"mannose-6-phosphate receptor, cation dependent"
"KLHL13"	"90293"	"kelch like family member 13"
"CYP26B1"	"56603"	"cytochrome P450 family 26 subfamily B member 1"
"ICA1"	"3382"	"islet cell autoantigen 1"
"DBNDD1"	"79007"	"dysbindin domain containing 1"
"ALS2"	"57679"	"alsin Rho guanine nucleotide exchange factor ALS2"
"CASP10"	"843"	"caspase 10"
"CFLAR"	"8837"	"CASP8 and FADD like apoptosis regulator"
"TFPI"	"7035"	"tissue factor pathway inhibitor"
"NDUFAF7"	"55471"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"RBM5"	"10181"	"RNA binding motif protein 5"
"MTMR7"	"9108"	"myotubularin related protein 7"
"SLC7A2"	"6542"	"solute carrier family 7 member 2"
"ARF5"	"381"	"ADP ribosylation factor 5"
"SARM1"	"23098"	"sterile alpha and TIR motif containing 1"
"POLDIP2"	"26073"	"DNA polymerase delta interacting protein 2"
"PLXND1"	"23129"	"plexin D1"
"AK2"	"204"	"adenylate kinase 2"
"CD38"	"952"	"CD38 molecule"
"FKBP4"	"2288"	"FKBP prolyl isomerase 4"
"KDM1A"	"23028"	"lysine demethylase 1A"
"RBM6"	"10180"	"RNA binding motif protein 6"
"CAMKK1"	"84254"	"calcium/calmodulin dependent protein kinase kinase 1"
"RECQL"	"5965"	"RecQ like helicase"
"VPS50"	"55610"	"VPS50 subunit of EARP/GARPII complex"
"HSPB6"	"126393"	"heat shock protein family B (small) member 6"
"ARHGAP33"	"115703"	"Rho GTPase activating protein 33"
"NDUFAB1"	"4706"	"NADH:ubiquinone oxidoreductase subunit AB1"
"PDK4"	"5166"	"pyruvate dehydrogenase kinase 4"
"SLC22A16"	"85413"	"solute carrier family 22 member 16"
"ZMYND10"	"51364"	"zinc finger MYND-type containing 10"
"ABCB5"	"340273"	"ATP binding cassette subfamily B member 5"
"ARX"	"170302"	"aristaless related homeobox"
"SLC25A13"	"10165"	"solute carrier family 25 member 13"
"ST7"	"7982"	"suppression of tumorigenicity 7"
"CDC27"	"996"	"cell division cycle 27"
"SLC4A1"	"6521"	"solute carrier family 4 member 1 (Diego blood group)"
"CALCR"	"799"	"calcitonin receptor"
"HCCS"	"3052"	"holocytochrome c synthase"
"DVL2"	"1856"	"dishevelled segment polarity protein 2"
"PRSS22"	"64063"	"serine protease 22"
"UPF1"	"5976"	"UPF1 RNA helicase and ATPase"
"SKAP2"	"8935"	"src kinase associated phosphoprotein 2"
"SLC25A5"	"292"	"solute carrier family 25 member 5"
"MCUB"	"55013"	"mitochondrial calcium uniporter dominant negative subunit beta"
"HOXA11"	"3207"	"homeobox A11"
"POLR2J"	"5439"	"RNA polymerase II subunit J"
"DHX33"	"56919"	"DEAH-box helicase 33"
"MEOX1"	"4222"	"mesenchyme homeobox 1"
